Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,29bb0adc-92fb-4a3b-ab2b-2dc7e63ca859,PathAnnotationObject,,Image,Polygon,32625.2,21527,44312747.4,30071.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,1d15cedf-2cc4-4c76-950a-bb2c8bdf561c,PathAnnotationObject,,Image,Polygon,91142.1,109829,59783706.6,36860.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,210c5fde-1ac7-4aa9-9b25-ba08116b8bcd,PathAnnotationObject,,Image,Polygon,127348.5,119936,28526768.7,23347.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,030498a2-c563-4ff8-884a-a8776eb10376,PathAnnotationObject,,Image,Polygon,126910.3,17232.6,40322500,27115.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,eea7f2ca-0c67-4ef4-bb83-4ee5ef78b572,PathAnnotationObject,,Image,Polygon,60653,18687.3,41127549.9,30226.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,31dcf5fa-0c63-495e-a165-a3a824dfffda,PathAnnotationObject,,Image,Polygon,115006.1,98636.1,63318925.8,33658.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,d46d9fe1-403b-41dd-92e9-fb13802f7da6,PathAnnotationObject,,Image,Polygon,112200.7,85745.4,57788582.9,33840.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b3ab678b-38fa-4d50-97ce-e992d7146495,PathAnnotationObject,,Image,Polygon,93485.6,40475.8,44942786.5,27335.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,8a2070eb-e3ca-41e2-a06c-f7c394da6153,PathAnnotationObject,,Image,Polygon,113467.6,122410.2,28946794.7,24405.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,6eda1719-7fd8-40e9-9244-3d39c4ecaa38,PathAnnotationObject,,Image,Polygon,14795,67655.7,44452756.1,29980.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,6432b4de-b6d0-4148-9056-23b6c598fd14,PathAnnotationObject,,Image,Polygon,73488,73343.4,22821414.9,21915
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,48dc0ce3-3055-44a7-aea7-1aa4e9db7182,PathAnnotationObject,,Image,Polygon,7600.2,93274.4,91180653.2,40666.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,ed49bf07-c822-4c90-a3ae-c64c69534e66,PathAnnotationObject,,Image,Polygon,50519.1,156841.1,87382917.8,43819.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b2ca82b5-5e5c-4ab6-8b96-116aa75ad1d6,PathAnnotationObject,,Image,Polygon,44944,63314.7,48968036,28366.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,05d7944e-b730-4819-963f-860a8369dd1d,PathAnnotationObject,,Image,Polygon,115102.1,165988.4,43997727.9,28858.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,649eb1ba-8296-468f-824c-e3cdbe57d6fa,PathAnnotationObject,,Image,Polygon,18765.5,50260,58278613.3,34898.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,5d5c475f-0db1-4a59-bf74-1a040ac442d0,PathAnnotationObject,,Image,Polygon,27550.9,86170.5,32377007.4,24844.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,5597297d-9163-40a8-9172-175083fbcc62,PathAnnotationObject,,Image,Polygon,123560.4,35898.4,85772817.9,39661.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,8d45b8d4-a887-4da5-ac05-fb086807d1fc,PathAnnotationObject,,Image,Polygon,59733.9,63586.3,36542265.6,25838.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,c5785689-dfcd-44d2-b549-13599931d8cc,PathAnnotationObject,,Image,Polygon,98153.2,34419.2,50228114.1,31942.6
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,f4228900-d268-44ec-9d79-fba38bee000a,PathAnnotationObject,,Image,Polygon,67708.7,150782.1,37032296,26896.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,ea72724e-5826-4f9a-83aa-013b34333b37,PathAnnotationObject,,Image,Polygon,39315.7,83616.6,80539993.5,41815.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,3340f0b7-5139-4077-bea3-558f0d22dfa1,PathAnnotationObject,,Image,Polygon,51235.9,106929.2,42982664.9,29542.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,29633fbe-e69f-4a8d-9c23-0e2d30f40982,PathAnnotationObject,,Image,Polygon,35967.6,54350,58978656.7,34679.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,dd6e8408-2826-4032-a145-7178d30e74b0,PathAnnotationObject,,Image,Polygon,109714.9,9681.7,84110214.8,40409.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,aeea71c0-6431-4373-a0f2-782a2368bd5f,PathAnnotationObject,,Image,Polygon,38607.5,150816.1,64403993.1,36111.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,5b293b7c-e0b3-4cb9-8ff0-5c30afcecda7,PathAnnotationObject,,Image,Polygon,29228.3,78498.8,54393372.4,30729.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,19f53f50-c094-4344-a990-994e339f5656,PathAnnotationObject,,Image,Polygon,55500.3,141987.4,53728331.2,32033.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,24c72299-8747-4e07-b681-9c5fe20052d0,PathAnnotationObject,,Image,Polygon,76717.9,163216.2,32061987.8,25747.6
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,886eede6-d5c4-44b1-be15-ec11f8098f0a,PathAnnotationObject,,Image,Polygon,93432.8,94665.4,55373433.2,33465.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,a73a1d5e-7875-489b-9141-0b792abb4b1b,PathAnnotationObject,,Image,Polygon,75513.2,35765.1,33182057.3,26148.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,0e0ada51-186b-4288-a93d-1c5c2ad45da9,PathAnnotationObject,,Image,Polygon,109912.5,157872.4,46867905.8,28019.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,0415f018-7301-4aa8-8af4-1c051b7783fc,PathAnnotationObject,,Image,Polygon,80313.6,136755.7,69654318.6,35620.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,63e706e5-a8e8-4072-a21f-350cfe633e31,PathAnnotationObject,,Image,Polygon,129652.6,148075.4,51890717.2,31467.4
